Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector
Startup Operations Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Startup Program Intern,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,Y,Financial Services
Statistical Assistant,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,Yes,Y,Financial Services
Steelman,Construction,Construction of buildings,Not Higher Education,No,No,Y,Tourism
Store Display Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale of cultural and recreation goods in specialized stores,Higher Education,No,Yes,N,N
Store Keeper,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No,N,N
Store Supervisor Trainee,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized and specialized stores,Higher Education,No,No,N,N
Storyboard Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N
Strategic Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N
Strategic Communications Specialist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N
Structural Design Technician,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N
Structural Steel Erector,Construction,Construction of buildings,Not Higher Education,No,No,Y,Tourism
Sugarcane Field Technician,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,N
Sugarcane Planter,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N
Supply Chain Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health
Supply Chain Specialist,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,N
Surf Instructor,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N
Surveillance Officer (CCTV Operation),Administrative and Support Service Activities,Security systems service activities,Higher Education,No,No,Y,Financial Services
Surveying Technician,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N
Sustainability Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Swine Artificial Insemination Technician,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N
Swine Raiser/Farmer,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N
System Formworks Installer,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,Tourism
Systems Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services
Tailor,Manufacturing                                                ,Custom tailoring and dressmaking,Not Higher Education,No,No,N,N
Talent Acquisition and Development Officer (Healthcare),Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health
Talent Acquisition Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,Financial Services
Talent Attraction and Management Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,Financial Services
Talent Management Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services
Tappers,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N
Taro Processor,Manufacturing                                                ,Processing and preserving of fruits and vegetables,Not Higher Education,No,No,N,N
Tax Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services
Taxi Drivers,Transportation and Storage,Other land transport,Not Higher Education,No,No,N,N
Technical Communicator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,N
Technical Project Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology
Technical Support Specialist,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology
Technology Operations Assistant,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,Yes,Y,Digital Technology
Telecommunications Engineer,Information and Communication,Wired telecommunications activities,Higher Education,No,No,N,N
Telediagnostic Technician,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health
Telephone And Broadband Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,N,N
Television Producer Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,N
Tender Planning & Estimating Staff (Construction),Construction,Construction of buildings,Not Higher Education,No,No,Y,Tourism
Terminologist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Ticket Issuing / Travel Clerk (Transportation and Storage),Transportation and Storage,"Transport via railways, Transport via buses, Other land transport, Inland water transport",Higher Education,No,Yes,N,N
Ticketing and Reservations Agent,Accommodation and Food Service Activities,"Travel agency, tour operator and other reservation service and related activities",Higher Education,No,No,N,N
TIG Plate Welder (Carbon Steel),Construction,Other specialized construction activities,Not Higher Education,No,No,Y,Tourism
Tikog Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N
Tilapia Farm Technician,"Agriculture, Forestry, and Fishing",Aquaculture,Not Higher Education,No,No,N,N
Tile Setter,Construction,Construction of buildings,Not Higher Education,No,No,Y,Tourism
Tinsmith (Automotive Manufacturing),Manufacturing                                                ,Manufacture of motor vehicles,Not Higher Education,No,No,N,N
Tinsmith (HVAC/R Worker),"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N
Tinsmiths,Construction,Building completion and finishing,Not Higher Education,No,No,N,N
TLE (Agricultural Track) Teacher,Education,Secondary/high school education,Higher Education,Yes,No,N,N
TLE (Industrial Arts) Teacher,Education,Secondary/high school education,Higher Education,Yes,No,N,N
TLE (Industrial Technology) Teacher,Education,Secondary/high school education,Higher Education,Yes,No,N,N
Tool Maker,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,N
Toolkeepers,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,Tourism
Tour Operations Staff,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,N,N
Tourism Information Clerk,Accommodation and Food Service Activities,"Travel agency, tour operator and other reservation service and related activities",Higher Education,No,Yes,N,N
Tourist Information Officer (LGU),Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Not Higher Education,No,No,N,N
Tower Crane Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,N
Tower Light Tenders,Construction,Other specialized construction activities,Higher Education,No,No,Y,Tourism
Trade & Diplomatic Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
Traditional Animator,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N
Training Quality Specialist,Information and Communication,Other information service activities,Higher Education,No,No,N,N
Transit Mixer Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,N
Translation Associate,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes,N,N
Translator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,No,N,N
Transmission Lineman,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N
Travel Agency Coordinator,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,Yes,N,N
Travel Content Creator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N
Travel Services Clerk,Accommodation and Food Service Activities,"Travel agency, tour operator and other reservation service and related activities",Not Higher Education,No,No,N,N
Treasury Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Y,Tourism
Truck Mounted Crane Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,N
TVET Instructor,Education,Other Education,Higher Education,Yes,No,N,N
U.S. Country Desk Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N
UI/UX Designer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology
UI/UX Game Artist,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,N,N
Underwater Diving Instructor,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N
Urban Forestry Aide,"Agriculture, Forestry, and Fishing",Silviculture and other forestry activities,Higher Education,Yes,No,N,N
Urban Planning Assistant,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes,N,N
Utility Personnel (Tourism),Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,N
Values Education Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,N,N
Vector Control Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Vehicle Mechanic,Manufacturing                                                ,Manufacture of motor vehicles,Higher Education,No,No,N,N
Veterinary Lab Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,No,Yes,N,N
Video Editing Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,N,N
Video Post-Production Editor,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,N,N
Video Production Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,N,N
Virtual Assistant,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Not Higher Education,No,No,Y,Financial Services
Visual Designer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N
Visual Effects Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,N
Visual Graphic Artist,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N
Visual Storyteller,Information and Communication,Other information service activities,Higher Education,No,No,N,N
Vocal Performer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N
Voice and Speech Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health
Voice Talent,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N
Voice-over Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N
Wafer Fabrication Technician,Manufacturing                                                ,Manufacture of electronic components,Higher Education,No,Yes,Y,Advanced Manufacturing
Ward Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health
Ward Attendant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health
Warehouse Aide (Healthcare),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health
Warehouse Forklift Operator,Transportation and Storage,Other land transport,Not Higher Education,No,No,N,N
Warehouse Personnel,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,N
Warehouseman (Healthcare),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health
Waste Handler (Manufacturing),Manufacturing                                                ,Manufacture of other food products,Not Higher Education,No,No,N,N
Waste Management Officer (Manufacturing),Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N
Waste Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health
Wastewater Treatment Specialist             ,"Water Supply; Sewerage, Waste Management and Remediation     ",Waste treatment and disposal,Higher Education,Yes,No,N,N
Water Quality Analyst,"Water Supply; Sewerage, Waste Management and Remediation     ","Water collection, treatment and supply",Higher Education,No,No,N,N
Water Quality Engineer                      ,"Water Supply; Sewerage, Waste Management and Remediation     ","Water collection, treatment and supply",Higher Education,Yes,No,N,N
Water Well Installer,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,Tourism
Waterside Worker,Transportation and Storage,Sea and coastal water transport,Not Higher Education,No,No,N,N
Web Application Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,Digital Technology
Web Designer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,Digital Technology
Web Developer (Python),Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,Digital Technology
Web Developer Intern,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology
Wellness Coach,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health
Wellness Program Aide,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,Health
Wheelchair Technician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health
Wheel-Loader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,N
Wildlife Field Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N
Wind Turbine Technician,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N
Window Cleaner,Accommodation and Food Service Activities,Other accommodation,Higher Education,No,No,N,N
Wood Carver,Manufacturing                                                ,Manufacture of furniture,Not Higher Education,No,No,N,N
Workforce Management Analyst,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,Y,Financial Services
Workforce Wellness Coordinator,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,Health
Worship Musician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N
