Identifier,Region,NTESDP Strategic Pillar Compenents,Output,Possible Funding Sources,List of Accomplishments,Accomplishments,PHYSICAL TARGETS,,,,,Accomplishments,FUNDING REQUIREMENTS,,,,
"REGION_VII|SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened|No. of TVET-related researches conducted|MOOE/SSP",REGION_VII,"SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened",No. of TVET-related researches conducted,MOOE/SSP,,0,1,0,1,0,2,0,"75,000",0,"75,000",0,"150,000"
"REGION_VII|SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened|No. of TVET-related researches conducted|SSP",REGION_VII,"SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened",No. of TVET-related researches conducted,SSP,,0,1,0,1,1,3,0,"50,000",0,0,"50,000","100,000"
"REGION_VII|SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened|TVET Knowledge Management System enhanced and implemented|PTC-MINGLANILLA: MULTI-REGIONAL TOP",REGION_VII,"SP_5: Transformative and Innovative TVET Ecosystem Organized, Managed, and Strengthened",TVET Knowledge Management System enhanced and implemented,PTC-MINGLANILLA: MULTI-REGIONAL TOP,,55,0,0,0,0,55,0,0,0,0,0,0
REGION_VII|SP_6: Philippine TVET System and Governance Harmonized|CAPABILITY PROGRAM FOR ISO CERTIFICATION FOR TTIs|MOOE / SSP,REGION_VII,SP_6: Philippine TVET System and Governance Harmonized,CAPABILITY PROGRAM FOR ISO CERTIFICATION FOR TTIs,MOOE / SSP,,0,1,1,1,1,4,0,"25,000","25,000","25,000","25,000","100,000"
REGION_VII|SP_6: Philippine TVET System and Governance Harmonized|CONDUCT OF BENCHMARKING ACTIVITY|MOOE / SSP,REGION_VII,SP_6: Philippine TVET System and Governance Harmonized,CONDUCT OF BENCHMARKING ACTIVITY,MOOE / SSP,,0,1,0,1,0,2,0,"100,000",0,"100,000",0,"200,000"
REGION_VII|SP_6: Philippine TVET System and Governance Harmonized|Inter-agency Programs Harmonized and Monitored|DEPED AND TESDA JMC,REGION_VII,SP_6: Philippine TVET System and Governance Harmonized,Inter-agency Programs Harmonized and Monitored,DEPED AND TESDA JMC,,0,1,1,1,1,4,0,0,0,0,0,0
REGION_VII|SP_6: Philippine TVET System and Governance Harmonized|Inter-agency Programs Harmonized and Monitored|PTC-MINGLANILLA: NUMBER OF DEPED SHS TEACHERS TRAINED ON TM1,REGION_VII,SP_6: Philippine TVET System and Governance Harmonized,Inter-agency Programs Harmonized and Monitored,PTC-MINGLANILLA: NUMBER OF DEPED SHS TEACHERS TRAINED ON TM1,,30,0,0,0,0,30,0,0,0,0,0,0
"REGION_VII|SP_6: Philippine TVET System and Governance Harmonized|Inter-agency Programs Harmonized and Monitored|MOOE, PARTNER AGENCY",REGION_VII,SP_6: Philippine TVET System and Governance Harmonized,Inter-agency Programs Harmonized and Monitored,"MOOE, PARTNER AGENCY",DEPED AND TESDA JMC,0,1,0,0,0,1,0,0,0,0,0,0
REGION_VII|SP_6: Philippine TVET System and Governance Harmonized|MAINTENANCE OF CITIZEN'S CHARTER|COMPLIANCE TO CITIZEN'S CHARTER REQUIREMENTS,REGION_VII,SP_6: Philippine TVET System and Governance Harmonized,MAINTENANCE OF CITIZEN'S CHARTER,COMPLIANCE TO CITIZEN'S CHARTER REQUIREMENTS,,1,1,1,1,1,5,0,0,0,0,0,0
REGION_VII|SP_6: Philippine TVET System and Governance Harmonized|No. of CBP conducted for the regional and provincial office personnel|,REGION_VII,SP_6: Philippine TVET System and Governance Harmonized,No. of CBP conducted for the regional and provincial office personnel,,,1,2,2,2,2,9,0,"200,000","200,000","200,000","200,000","800,000"
REGION_VII|SP_6: Philippine TVET System and Governance Harmonized|No. of TESDC Resolutions issued (related to the implementation of the RiPTESDP)|PTESDC RESOLUTIONS ISSUED,REGION_VII,SP_6: Philippine TVET System and Governance Harmonized,No. of TESDC Resolutions issued (related to the implementation of the RiPTESDP),PTESDC RESOLUTIONS ISSUED,,6,6,6,6,6,30,0,0,0,0,0,0
REGION_VII|SP_6: Philippine TVET System and Governance Harmonized|Public investments increased (LGUs)|SPECIAL EDUCATION FUND,REGION_VII,SP_6: Philippine TVET System and Governance Harmonized,Public investments increased (LGUs),SPECIAL EDUCATION FUND,SUGBO KAHANAS SKILLS DEVELOPMENT PROGRAM,0,1,0,0,0,1,0,"200,000,000",0,0,0,"200,000,000"
REGION_VII|SP_6: Philippine TVET System and Governance Harmonized|WORKFORCE DEVELOPMENT PLAN DEVELOPED|MOOE / SSP,REGION_VII,SP_6: Philippine TVET System and Governance Harmonized,WORKFORCE DEVELOPMENT PLAN DEVELOPED,MOOE / SSP,,0,1,1,1,1,4,0,"50,000","50,000","50,000","50,000","200,000"
