IDENTIFIER,REGION,SECTOR,SUBSECTOR,JOB REQUIREMENT,PROGRAM,TYPE,TASK + UC
"REGION_VII|CONSTRUCTION|ELECTRICAL INSTALLATION|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC III|With TR|TO INSTALL AND MAINTAIN WIRING, CONTROL AND LIGHTING SYSTEM
TEST AND REPAIR ELECTRICAL SECURITY SYSTEM/ COMPONENTS
SERVICE ELECTRONIC ENGINE MANAGEMENT
OVERHAUL ENGINES AND ASSOCIATED COMPONENTS
SERVICE AUTOMATIC TRANSMISSION
PERFORM MAINTENANCE SERVICE CHECK-UP AND REPAIR TO AUTO AC SYSTEM
REMOVE AND REPLACE AUTOMOTIVE ENGINE AND ENGINE-RELATED SYSTEMS
SERVICE AND REPAIR ELECTRONICALLY CONTROLLED STEERING SYSTEMS
SERVICE AND REPAIR ELECTRONICALLY CONTROLLED SUSPENSION SYSTEMS
REPAIR INSTRUMENTS AND WARNING SYSTEMS
CARRY OUT DIAGNOSTIC PROCEDURES
SERVICE LPG SYSTEM
INSTALL LPG CONVERSION KIT
TEST AND ADJUST LPG CALIBRATIONCARRY OUT INSPECTION OF ELECTRIC VEHICLES (EVS) FOR FLEET OPERATIONS
SERVICE BATTERY ELECTRIC VEHICLE (BEV) MECHANICAL SYSTEM AND COMPONENTS
SERVICE BATTERY ELECTRIC VEHICLE (BEV) ELECTRICAL SYSTEM AND COMPONENTSDISMOUNT, MAINTAIN AND STORE LIGHTING EQUIPMENT
PREPARE LIGHTING EQUIPMENT, TOOLS AND SUPPLIES
SET-UP LIGHTING EQUIPMENT ACCORDING TO THE LIGHTING PLAN
OPERATE AND MONITOR THE LIGHTING SYSTEMPERFORM ROUGHING-IN ACTIVITIES, WIRING AND CABLING WORKS FOR SINGLE-PHASE DISTRIBUTION, POWER, LIGHTING AND AUXILIARY SYSTEMS
INSTALL ELECTRICAL PROTECTIVE DEVICES FOR DISTRIBUTION, POWER, LIGHTING, AUXILIARY, LIGHTNING PROTECTION AND GROUNDING SYSTEMS
INSTALL WIRING DEVICES OF FLOOR AND WALL MOUNTED OUTLETS, LIGHTING FIXTURES/SWITCHES, AND AUXILIARY OUTLETSPERFORM INSTALLATION OF DATA MEASUREMENT AND CONTROL SYSTEM ON ELECTRICAL AND AUXILIARY EQUIPMENT
PERFORM ROUGHING-IN AND WIRING ACTIVITIES FOR THREE-PHASE DISTRIBUTION SYSTEM FOR POWER, LIGHTING AND MOTOR CONTROL PANEL
INSTALL, ASSEMBLE, TEST AND MAINTAIN MOTOR CONTROL SYSTEMMAINTAIN BASIC ALARM SYSTEMS ON BOARD SHIP
SERVICE MARINE ELECTRICAL APPLIANCES
SERVICE MARINE ELECTRIC GENERATORS
SERVICE MARINE ELECTRIC MOTORS
SERVICE MARINE LIGHTING SYSTEM
SERVICE AND MAINTAIN MARINE BATTERIES
MAINTAIN MARINE MOTOR CONTROLS AND OTHER BASIC ELECTRONIC CONTROL SYSTEMS",REGION_VII,CONSTRUCTION,ELECTRICAL INSTALLATION,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC III,With TR,"TO INSTALL AND MAINTAIN WIRING, CONTROL AND LIGHTING SYSTEM
TEST AND REPAIR ELECTRICAL SECURITY SYSTEM/ COMPONENTS
SERVICE ELECTRONIC ENGINE MANAGEMENT
OVERHAUL ENGINES AND ASSOCIATED COMPONENTS
SERVICE AUTOMATIC TRANSMISSION
PERFORM MAINTENANCE SERVICE CHECK-UP AND REPAIR TO AUTO AC SYSTEM
REMOVE AND REPLACE AUTOMOTIVE ENGINE AND ENGINE-RELATED SYSTEMS
SERVICE AND REPAIR ELECTRONICALLY CONTROLLED STEERING SYSTEMS
SERVICE AND REPAIR ELECTRONICALLY CONTROLLED SUSPENSION SYSTEMS
REPAIR INSTRUMENTS AND WARNING SYSTEMS
CARRY OUT DIAGNOSTIC PROCEDURES
SERVICE LPG SYSTEM
INSTALL LPG CONVERSION KIT
TEST AND ADJUST LPG CALIBRATIONCARRY OUT INSPECTION OF ELECTRIC VEHICLES (EVS) FOR FLEET OPERATIONS
SERVICE BATTERY ELECTRIC VEHICLE (BEV) MECHANICAL SYSTEM AND COMPONENTS
SERVICE BATTERY ELECTRIC VEHICLE (BEV) ELECTRICAL SYSTEM AND COMPONENTSDISMOUNT, MAINTAIN AND STORE LIGHTING EQUIPMENT
PREPARE LIGHTING EQUIPMENT, TOOLS AND SUPPLIES
SET-UP LIGHTING EQUIPMENT ACCORDING TO THE LIGHTING PLAN
OPERATE AND MONITOR THE LIGHTING SYSTEMPERFORM ROUGHING-IN ACTIVITIES, WIRING AND CABLING WORKS FOR SINGLE-PHASE DISTRIBUTION, POWER, LIGHTING AND AUXILIARY SYSTEMS
INSTALL ELECTRICAL PROTECTIVE DEVICES FOR DISTRIBUTION, POWER, LIGHTING, AUXILIARY, LIGHTNING PROTECTION AND GROUNDING SYSTEMS
INSTALL WIRING DEVICES OF FLOOR AND WALL MOUNTED OUTLETS, LIGHTING FIXTURES/SWITCHES, AND AUXILIARY OUTLETSPERFORM INSTALLATION OF DATA MEASUREMENT AND CONTROL SYSTEM ON ELECTRICAL AND AUXILIARY EQUIPMENT
PERFORM ROUGHING-IN AND WIRING ACTIVITIES FOR THREE-PHASE DISTRIBUTION SYSTEM FOR POWER, LIGHTING AND MOTOR CONTROL PANEL
INSTALL, ASSEMBLE, TEST AND MAINTAIN MOTOR CONTROL SYSTEMMAINTAIN BASIC ALARM SYSTEMS ON BOARD SHIP
SERVICE MARINE ELECTRICAL APPLIANCES
SERVICE MARINE ELECTRIC GENERATORS
SERVICE MARINE ELECTRIC MOTORS
SERVICE MARINE LIGHTING SYSTEM
SERVICE AND MAINTAIN MARINE BATTERIES
MAINTAIN MARINE MOTOR CONTROLS AND OTHER BASIC ELECTRONIC CONTROL SYSTEMS"
"REGION_VII|CONSTRUCTION|BUILDING WIRING|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|With TR|TO INSTALL WIRINGS FOR RESIDENTIAL, COMMERCIAL AND INDUSTRIAL
TEST AND REPAIR ELECTRICAL SECURITY SYSTEM/ COMPONENTS
SERVICE ELECTRONIC ENGINE MANAGEMENT
OVERHAUL ENGINES AND ASSOCIATED COMPONENTS
SERVICE AUTOMATIC TRANSMISSION
PERFORM MAINTENANCE SERVICE CHECK-UP AND REPAIR TO AUTO AC SYSTEM
REMOVE AND REPLACE AUTOMOTIVE ENGINE AND ENGINE-RELATED SYSTEMS
SERVICE AND REPAIR ELECTRONICALLY CONTROLLED STEERING SYSTEMS
SERVICE AND REPAIR ELECTRONICALLY CONTROLLED SUSPENSION SYSTEMS
REPAIR INSTRUMENTS AND WARNING SYSTEMS
CARRY OUT DIAGNOSTIC PROCEDURES
SERVICE LPG SYSTEM
INSTALL LPG CONVERSION KIT
TEST AND ADJUST LPG CALIBRATIONCARRY OUT INSPECTION OF ELECTRIC VEHICLES (EVS) FOR FLEET OPERATIONS
SERVICE BATTERY ELECTRIC VEHICLE (BEV) MECHANICAL SYSTEM AND COMPONENTS
SERVICE BATTERY ELECTRIC VEHICLE (BEV) ELECTRICAL SYSTEM AND COMPONENTSDISMOUNT, MAINTAIN AND STORE LIGHTING EQUIPMENT
PREPARE LIGHTING EQUIPMENT, TOOLS AND SUPPLIES
SET-UP LIGHTING EQUIPMENT ACCORDING TO THE LIGHTING PLAN
OPERATE AND MONITOR THE LIGHTING SYSTEMPERFORM ROUGHING-IN ACTIVITIES, WIRING AND CABLING WORKS FOR SINGLE-PHASE DISTRIBUTION, POWER, LIGHTING AND AUXILIARY SYSTEMS
INSTALL ELECTRICAL PROTECTIVE DEVICES FOR DISTRIBUTION, POWER, LIGHTING, AUXILIARY, LIGHTNING PROTECTION AND GROUNDING SYSTEMS
INSTALL WIRING DEVICES OF FLOOR AND WALL MOUNTED OUTLETS, LIGHTING FIXTURES/SWITCHES, AND AUXILIARY OUTLETSPERFORM INSTALLATION OF DATA MEASUREMENT AND CONTROL SYSTEM ON ELECTRICAL AND AUXILIARY EQUIPMENT
PERFORM ROUGHING-IN AND WIRING ACTIVITIES FOR THREE-PHASE DISTRIBUTION SYSTEM FOR POWER, LIGHTING AND MOTOR CONTROL PANEL
INSTALL, ASSEMBLE, TEST AND MAINTAIN MOTOR CONTROL SYSTEMMAINTAIN BASIC ALARM SYSTEMS ON BOARD SHIP
SERVICE MARINE ELECTRICAL APPLIANCES
SERVICE MARINE ELECTRIC GENERATORS
SERVICE MARINE ELECTRIC MOTORS
SERVICE MARINE LIGHTING SYSTEM
SERVICE AND MAINTAIN MARINE BATTERIES
MAINTAIN MARINE MOTOR CONTROLS AND OTHER BASIC ELECTRONIC CONTROL SYSTEMS",REGION_VII,CONSTRUCTION,BUILDING WIRING,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,With TR,"TO INSTALL WIRINGS FOR RESIDENTIAL, COMMERCIAL AND INDUSTRIAL
TEST AND REPAIR ELECTRICAL SECURITY SYSTEM/ COMPONENTS
SERVICE ELECTRONIC ENGINE MANAGEMENT
OVERHAUL ENGINES AND ASSOCIATED COMPONENTS
SERVICE AUTOMATIC TRANSMISSION
PERFORM MAINTENANCE SERVICE CHECK-UP AND REPAIR TO AUTO AC SYSTEM
REMOVE AND REPLACE AUTOMOTIVE ENGINE AND ENGINE-RELATED SYSTEMS
SERVICE AND REPAIR ELECTRONICALLY CONTROLLED STEERING SYSTEMS
SERVICE AND REPAIR ELECTRONICALLY CONTROLLED SUSPENSION SYSTEMS
REPAIR INSTRUMENTS AND WARNING SYSTEMS
CARRY OUT DIAGNOSTIC PROCEDURES
SERVICE LPG SYSTEM
INSTALL LPG CONVERSION KIT
TEST AND ADJUST LPG CALIBRATIONCARRY OUT INSPECTION OF ELECTRIC VEHICLES (EVS) FOR FLEET OPERATIONS
SERVICE BATTERY ELECTRIC VEHICLE (BEV) MECHANICAL SYSTEM AND COMPONENTS
SERVICE BATTERY ELECTRIC VEHICLE (BEV) ELECTRICAL SYSTEM AND COMPONENTSDISMOUNT, MAINTAIN AND STORE LIGHTING EQUIPMENT
PREPARE LIGHTING EQUIPMENT, TOOLS AND SUPPLIES
SET-UP LIGHTING EQUIPMENT ACCORDING TO THE LIGHTING PLAN
OPERATE AND MONITOR THE LIGHTING SYSTEMPERFORM ROUGHING-IN ACTIVITIES, WIRING AND CABLING WORKS FOR SINGLE-PHASE DISTRIBUTION, POWER, LIGHTING AND AUXILIARY SYSTEMS
INSTALL ELECTRICAL PROTECTIVE DEVICES FOR DISTRIBUTION, POWER, LIGHTING, AUXILIARY, LIGHTNING PROTECTION AND GROUNDING SYSTEMS
INSTALL WIRING DEVICES OF FLOOR AND WALL MOUNTED OUTLETS, LIGHTING FIXTURES/SWITCHES, AND AUXILIARY OUTLETSPERFORM INSTALLATION OF DATA MEASUREMENT AND CONTROL SYSTEM ON ELECTRICAL AND AUXILIARY EQUIPMENT
PERFORM ROUGHING-IN AND WIRING ACTIVITIES FOR THREE-PHASE DISTRIBUTION SYSTEM FOR POWER, LIGHTING AND MOTOR CONTROL PANEL
INSTALL, ASSEMBLE, TEST AND MAINTAIN MOTOR CONTROL SYSTEMMAINTAIN BASIC ALARM SYSTEMS ON BOARD SHIP
SERVICE MARINE ELECTRICAL APPLIANCES
SERVICE MARINE ELECTRIC GENERATORS
SERVICE MARINE ELECTRIC MOTORS
SERVICE MARINE LIGHTING SYSTEM
SERVICE AND MAINTAIN MARINE BATTERIES
MAINTAIN MARINE MOTOR CONTROLS AND OTHER BASIC ELECTRONIC CONTROL SYSTEMS"
"REGION_VII|CONSTRUCTION|PROGRAMABLE LOGIC CONTROLLER|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC IV|With TR|TO DEVELOP AND UPLOAD THE CONTROL PROGRAM TO THE PLC USING PROGRAMING DEVICE
TEST AND REPAIR ELECTRICAL SECURITY SYSTEM/ COMPONENTS
SERVICE ELECTRONIC ENGINE MANAGEMENT
OVERHAUL ENGINES AND ASSOCIATED COMPONENTS
SERVICE AUTOMATIC TRANSMISSION
PERFORM MAINTENANCE SERVICE CHECK-UP AND REPAIR TO AUTO AC SYSTEM
REMOVE AND REPLACE AUTOMOTIVE ENGINE AND ENGINE-RELATED SYSTEMS
SERVICE AND REPAIR ELECTRONICALLY CONTROLLED STEERING SYSTEMS
SERVICE AND REPAIR ELECTRONICALLY CONTROLLED SUSPENSION SYSTEMS
REPAIR INSTRUMENTS AND WARNING SYSTEMS
CARRY OUT DIAGNOSTIC PROCEDURES
SERVICE LPG SYSTEM
INSTALL LPG CONVERSION KIT
TEST AND ADJUST LPG CALIBRATIONCARRY OUT INSPECTION OF ELECTRIC VEHICLES (EVS) FOR FLEET OPERATIONS
SERVICE BATTERY ELECTRIC VEHICLE (BEV) MECHANICAL SYSTEM AND COMPONENTS
SERVICE BATTERY ELECTRIC VEHICLE (BEV) ELECTRICAL SYSTEM AND COMPONENTSDISMOUNT, MAINTAIN AND STORE LIGHTING EQUIPMENT
PREPARE LIGHTING EQUIPMENT, TOOLS AND SUPPLIES
SET-UP LIGHTING EQUIPMENT ACCORDING TO THE LIGHTING PLAN
OPERATE AND MONITOR THE LIGHTING SYSTEMPERFORM ROUGHING-IN ACTIVITIES, WIRING AND CABLING WORKS FOR SINGLE-PHASE DISTRIBUTION, POWER, LIGHTING AND AUXILIARY SYSTEMS
INSTALL ELECTRICAL PROTECTIVE DEVICES FOR DISTRIBUTION, POWER, LIGHTING, AUXILIARY, LIGHTNING PROTECTION AND GROUNDING SYSTEMS
INSTALL WIRING DEVICES OF FLOOR AND WALL MOUNTED OUTLETS, LIGHTING FIXTURES/SWITCHES, AND AUXILIARY OUTLETSPERFORM INSTALLATION OF DATA MEASUREMENT AND CONTROL SYSTEM ON ELECTRICAL AND AUXILIARY EQUIPMENT
PERFORM ROUGHING-IN AND WIRING ACTIVITIES FOR THREE-PHASE DISTRIBUTION SYSTEM FOR POWER, LIGHTING AND MOTOR CONTROL PANEL
INSTALL, ASSEMBLE, TEST AND MAINTAIN MOTOR CONTROL SYSTEMMAINTAIN BASIC ALARM SYSTEMS ON BOARD SHIP
SERVICE MARINE ELECTRICAL APPLIANCES
SERVICE MARINE ELECTRIC GENERATORS
SERVICE MARINE ELECTRIC MOTORS
SERVICE MARINE LIGHTING SYSTEM
SERVICE AND MAINTAIN MARINE BATTERIES
MAINTAIN MARINE MOTOR CONTROLS AND OTHER BASIC ELECTRONIC CONTROL SYSTEMS",REGION_VII,CONSTRUCTION,PROGRAMABLE LOGIC CONTROLLER,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC IV,With TR,"TO DEVELOP AND UPLOAD THE CONTROL PROGRAM TO THE PLC USING PROGRAMING DEVICE
TEST AND REPAIR ELECTRICAL SECURITY SYSTEM/ COMPONENTS
SERVICE ELECTRONIC ENGINE MANAGEMENT
OVERHAUL ENGINES AND ASSOCIATED COMPONENTS
SERVICE AUTOMATIC TRANSMISSION
PERFORM MAINTENANCE SERVICE CHECK-UP AND REPAIR TO AUTO AC SYSTEM
REMOVE AND REPLACE AUTOMOTIVE ENGINE AND ENGINE-RELATED SYSTEMS
SERVICE AND REPAIR ELECTRONICALLY CONTROLLED STEERING SYSTEMS
SERVICE AND REPAIR ELECTRONICALLY CONTROLLED SUSPENSION SYSTEMS
REPAIR INSTRUMENTS AND WARNING SYSTEMS
CARRY OUT DIAGNOSTIC PROCEDURES
SERVICE LPG SYSTEM
INSTALL LPG CONVERSION KIT
TEST AND ADJUST LPG CALIBRATIONCARRY OUT INSPECTION OF ELECTRIC VEHICLES (EVS) FOR FLEET OPERATIONS
SERVICE BATTERY ELECTRIC VEHICLE (BEV) MECHANICAL SYSTEM AND COMPONENTS
SERVICE BATTERY ELECTRIC VEHICLE (BEV) ELECTRICAL SYSTEM AND COMPONENTSDISMOUNT, MAINTAIN AND STORE LIGHTING EQUIPMENT
PREPARE LIGHTING EQUIPMENT, TOOLS AND SUPPLIES
SET-UP LIGHTING EQUIPMENT ACCORDING TO THE LIGHTING PLAN
OPERATE AND MONITOR THE LIGHTING SYSTEMPERFORM ROUGHING-IN ACTIVITIES, WIRING AND CABLING WORKS FOR SINGLE-PHASE DISTRIBUTION, POWER, LIGHTING AND AUXILIARY SYSTEMS
INSTALL ELECTRICAL PROTECTIVE DEVICES FOR DISTRIBUTION, POWER, LIGHTING, AUXILIARY, LIGHTNING PROTECTION AND GROUNDING SYSTEMS
INSTALL WIRING DEVICES OF FLOOR AND WALL MOUNTED OUTLETS, LIGHTING FIXTURES/SWITCHES, AND AUXILIARY OUTLETSPERFORM INSTALLATION OF DATA MEASUREMENT AND CONTROL SYSTEM ON ELECTRICAL AND AUXILIARY EQUIPMENT
PERFORM ROUGHING-IN AND WIRING ACTIVITIES FOR THREE-PHASE DISTRIBUTION SYSTEM FOR POWER, LIGHTING AND MOTOR CONTROL PANEL
INSTALL, ASSEMBLE, TEST AND MAINTAIN MOTOR CONTROL SYSTEMMAINTAIN BASIC ALARM SYSTEMS ON BOARD SHIP
SERVICE MARINE ELECTRICAL APPLIANCES
SERVICE MARINE ELECTRIC GENERATORS
SERVICE MARINE ELECTRIC MOTORS
SERVICE MARINE LIGHTING SYSTEM
SERVICE AND MAINTAIN MARINE BATTERIES
MAINTAIN MARINE MOTOR CONTROLS AND OTHER BASIC ELECTRONIC CONTROL SYSTEMS"
"REGION_VII|CONSTRUCTION|INDOOR ENVIRONMENT QUALITY|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|With TR|TO ENSURE PROPER VENTILATION AND INDOOR AIR QUALITY SYSTEM
TEST AND REPAIR ELECTRICAL SECURITY SYSTEM/ COMPONENTS
SERVICE ELECTRONIC ENGINE MANAGEMENT
OVERHAUL ENGINES AND ASSOCIATED COMPONENTS
SERVICE AUTOMATIC TRANSMISSION
PERFORM MAINTENANCE SERVICE CHECK-UP AND REPAIR TO AUTO AC SYSTEM
REMOVE AND REPLACE AUTOMOTIVE ENGINE AND ENGINE-RELATED SYSTEMS
SERVICE AND REPAIR ELECTRONICALLY CONTROLLED STEERING SYSTEMS
SERVICE AND REPAIR ELECTRONICALLY CONTROLLED SUSPENSION SYSTEMS
REPAIR INSTRUMENTS AND WARNING SYSTEMS
CARRY OUT DIAGNOSTIC PROCEDURES
SERVICE LPG SYSTEM
INSTALL LPG CONVERSION KIT
TEST AND ADJUST LPG CALIBRATIONCARRY OUT INSPECTION OF ELECTRIC VEHICLES (EVS) FOR FLEET OPERATIONS
SERVICE BATTERY ELECTRIC VEHICLE (BEV) MECHANICAL SYSTEM AND COMPONENTS
SERVICE BATTERY ELECTRIC VEHICLE (BEV) ELECTRICAL SYSTEM AND COMPONENTSDISMOUNT, MAINTAIN AND STORE LIGHTING EQUIPMENT
PREPARE LIGHTING EQUIPMENT, TOOLS AND SUPPLIES
SET-UP LIGHTING EQUIPMENT ACCORDING TO THE LIGHTING PLAN
OPERATE AND MONITOR THE LIGHTING SYSTEMPERFORM ROUGHING-IN ACTIVITIES, WIRING AND CABLING WORKS FOR SINGLE-PHASE DISTRIBUTION, POWER, LIGHTING AND AUXILIARY SYSTEMS
INSTALL ELECTRICAL PROTECTIVE DEVICES FOR DISTRIBUTION, POWER, LIGHTING, AUXILIARY, LIGHTNING PROTECTION AND GROUNDING SYSTEMS
INSTALL WIRING DEVICES OF FLOOR AND WALL MOUNTED OUTLETS, LIGHTING FIXTURES/SWITCHES, AND AUXILIARY OUTLETSPERFORM INSTALLATION OF DATA MEASUREMENT AND CONTROL SYSTEM ON ELECTRICAL AND AUXILIARY EQUIPMENT
PERFORM ROUGHING-IN AND WIRING ACTIVITIES FOR THREE-PHASE DISTRIBUTION SYSTEM FOR POWER, LIGHTING AND MOTOR CONTROL PANEL
INSTALL, ASSEMBLE, TEST AND MAINTAIN MOTOR CONTROL SYSTEMMAINTAIN BASIC ALARM SYSTEMS ON BOARD SHIP
SERVICE MARINE ELECTRICAL APPLIANCES
SERVICE MARINE ELECTRIC GENERATORS
SERVICE MARINE ELECTRIC MOTORS
SERVICE MARINE LIGHTING SYSTEM
SERVICE AND MAINTAIN MARINE BATTERIES
MAINTAIN MARINE MOTOR CONTROLS AND OTHER BASIC ELECTRONIC CONTROL SYSTEMS",REGION_VII,CONSTRUCTION,INDOOR ENVIRONMENT QUALITY,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,With TR,"TO ENSURE PROPER VENTILATION AND INDOOR AIR QUALITY SYSTEM
TEST AND REPAIR ELECTRICAL SECURITY SYSTEM/ COMPONENTS
SERVICE ELECTRONIC ENGINE MANAGEMENT
OVERHAUL ENGINES AND ASSOCIATED COMPONENTS
SERVICE AUTOMATIC TRANSMISSION
PERFORM MAINTENANCE SERVICE CHECK-UP AND REPAIR TO AUTO AC SYSTEM
REMOVE AND REPLACE AUTOMOTIVE ENGINE AND ENGINE-RELATED SYSTEMS
SERVICE AND REPAIR ELECTRONICALLY CONTROLLED STEERING SYSTEMS
SERVICE AND REPAIR ELECTRONICALLY CONTROLLED SUSPENSION SYSTEMS
REPAIR INSTRUMENTS AND WARNING SYSTEMS
CARRY OUT DIAGNOSTIC PROCEDURES
SERVICE LPG SYSTEM
INSTALL LPG CONVERSION KIT
TEST AND ADJUST LPG CALIBRATIONCARRY OUT INSPECTION OF ELECTRIC VEHICLES (EVS) FOR FLEET OPERATIONS
SERVICE BATTERY ELECTRIC VEHICLE (BEV) MECHANICAL SYSTEM AND COMPONENTS
SERVICE BATTERY ELECTRIC VEHICLE (BEV) ELECTRICAL SYSTEM AND COMPONENTSDISMOUNT, MAINTAIN AND STORE LIGHTING EQUIPMENT
PREPARE LIGHTING EQUIPMENT, TOOLS AND SUPPLIES
SET-UP LIGHTING EQUIPMENT ACCORDING TO THE LIGHTING PLAN
OPERATE AND MONITOR THE LIGHTING SYSTEMPERFORM ROUGHING-IN ACTIVITIES, WIRING AND CABLING WORKS FOR SINGLE-PHASE DISTRIBUTION, POWER, LIGHTING AND AUXILIARY SYSTEMS
INSTALL ELECTRICAL PROTECTIVE DEVICES FOR DISTRIBUTION, POWER, LIGHTING, AUXILIARY, LIGHTNING PROTECTION AND GROUNDING SYSTEMS
INSTALL WIRING DEVICES OF FLOOR AND WALL MOUNTED OUTLETS, LIGHTING FIXTURES/SWITCHES, AND AUXILIARY OUTLETSPERFORM INSTALLATION OF DATA MEASUREMENT AND CONTROL SYSTEM ON ELECTRICAL AND AUXILIARY EQUIPMENT
PERFORM ROUGHING-IN AND WIRING ACTIVITIES FOR THREE-PHASE DISTRIBUTION SYSTEM FOR POWER, LIGHTING AND MOTOR CONTROL PANEL
INSTALL, ASSEMBLE, TEST AND MAINTAIN MOTOR CONTROL SYSTEMMAINTAIN BASIC ALARM SYSTEMS ON BOARD SHIP
SERVICE MARINE ELECTRICAL APPLIANCES
SERVICE MARINE ELECTRIC GENERATORS
SERVICE MARINE ELECTRIC MOTORS
SERVICE MARINE LIGHTING SYSTEM
SERVICE AND MAINTAIN MARINE BATTERIES
MAINTAIN MARINE MOTOR CONTROLS AND OTHER BASIC ELECTRONIC CONTROL SYSTEMS"
REGION_VII|CONSTRUCTION|PIPEFITTER|FITTERS|PIPEFITTING (METALLIC) NC II|With TR|TO MAINTAIN AND REPAIRING PIPING SYSTEM,REGION_VII,CONSTRUCTION,PIPEFITTER,FITTERS,PIPEFITTING (METALLIC) NC II,With TR,TO MAINTAIN AND REPAIRING PIPING SYSTEM
REGION_VII|CONSTRUCTION|HYDRAULIC EXCAVATOR OPERATOR|HYDRAULIC OPERATORS|HEAVY EQUIPMENT OPERATION (HYDRAULIC EXCAVATOR) NC II|With TR|TO LIFTING AND MOVING HEAVY MATERIALS,REGION_VII,CONSTRUCTION,HYDRAULIC EXCAVATOR OPERATOR,HYDRAULIC OPERATORS,HEAVY EQUIPMENT OPERATION (HYDRAULIC EXCAVATOR) NC II,With TR,TO LIFTING AND MOVING HEAVY MATERIALS
"REGION_VII|CONSTRUCTION|ROUGH MASON|MASON|MASONRY NC I|With TR|TO WORKS WITH VARIOUS MATERIALS ON A JOB, SPECIFICALLY STONE, CONCRETE AND TILE
PREPARE MASONRY MATERIALS
PREPARE MASONRY TOOLS AND EQUIPMENT
PERFORM BASIC MASONRY WORKSPLASTER WALL SURFACE
LAY CONCRETE HOLLOW BLOCK FOR STRUCTUREPERFORM STRAIGHT-TO-FINISH FLOOR CONCRETING
PERFORM BASIC TILE SETTING
RECTIFY NON-CONFORMING CONCRETE AND MASONRY SURFACES",REGION_VII,CONSTRUCTION,ROUGH MASON,MASON,MASONRY NC I,With TR,"TO WORKS WITH VARIOUS MATERIALS ON A JOB, SPECIFICALLY STONE, CONCRETE AND TILE
PREPARE MASONRY MATERIALS
PREPARE MASONRY TOOLS AND EQUIPMENT
PERFORM BASIC MASONRY WORKSPLASTER WALL SURFACE
LAY CONCRETE HOLLOW BLOCK FOR STRUCTUREPERFORM STRAIGHT-TO-FINISH FLOOR CONCRETING
PERFORM BASIC TILE SETTING
RECTIFY NON-CONFORMING CONCRETE AND MASONRY SURFACES"
"REGION_VII|CONSTRUCTION|HELPER MASON, CONSTRUCTION HELPER|MASON|MASONRY NC I|With TR|TO ASSIST IN CHB LAYING, ASSIST IN PREPARING AND CLEANING WORK AREAS
PREPARE MASONRY MATERIALS
PREPARE MASONRY TOOLS AND EQUIPMENT
PERFORM BASIC MASONRY WORKSPLASTER WALL SURFACE
LAY CONCRETE HOLLOW BLOCK FOR STRUCTUREPERFORM STRAIGHT-TO-FINISH FLOOR CONCRETING
PERFORM BASIC TILE SETTING
RECTIFY NON-CONFORMING CONCRETE AND MASONRY SURFACES",REGION_VII,CONSTRUCTION,"HELPER MASON, CONSTRUCTION HELPER",MASON,MASONRY NC I,With TR,"TO ASSIST IN CHB LAYING, ASSIST IN PREPARING AND CLEANING WORK AREAS
PREPARE MASONRY MATERIALS
PREPARE MASONRY TOOLS AND EQUIPMENT
PERFORM BASIC MASONRY WORKSPLASTER WALL SURFACE
LAY CONCRETE HOLLOW BLOCK FOR STRUCTUREPERFORM STRAIGHT-TO-FINISH FLOOR CONCRETING
PERFORM BASIC TILE SETTING
RECTIFY NON-CONFORMING CONCRETE AND MASONRY SURFACES"
"REGION_VII|CONSTRUCTION|INDUSTRIAL PLUMBING|PLUMBERS|PLUMBING NC III|With TR|TO INSTALL AND REPAIR PIPES AND FIXTURES THAT CARRY WATERS, GAS OR OTHER FLUIDS",REGION_VII,CONSTRUCTION,INDUSTRIAL PLUMBING,PLUMBERS,PLUMBING NC III,With TR,"TO INSTALL AND REPAIR PIPES AND FIXTURES THAT CARRY WATERS, GAS OR OTHER FLUIDS"
REGION_VII|CONSTRUCTION|COMPLYING ENVIRONMENTAL LAWS AND STANDARDS|PROJECT DEVELOPMENT AND ENVIRONMENTAL SPECIALIST|COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV|With CS|TO MONITOR AND AUDIT ENVIRONMENTAL COMPLIANCES AND BUILDING PERMITS,REGION_VII,CONSTRUCTION,COMPLYING ENVIRONMENTAL LAWS AND STANDARDS,PROJECT DEVELOPMENT AND ENVIRONMENTAL SPECIALIST,COMMUNITY PROGRAM DEVELOPMENT SERVICES LEVEL IV,With CS,TO MONITOR AND AUDIT ENVIRONMENTAL COMPLIANCES AND BUILDING PERMITS
