,,,,,,,,,,,,,,,,,,
"Importing 1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Sub-sector,Job Requirement,Programs,"Program
Type","Priority
Ranking
(Province)",,Year 2,,,,,Year 3,,,
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|HEALTH INFORMATION MANAGEMENT SERVICES|MEDICAL TRANSCRIPTION EDITOR|MEDICAL TRANSCRIPTION NC II|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,HEALTH INFORMATION MANAGEMENT SERVICES,MEDICAL TRANSCRIPTION EDITOR,MEDICAL TRANSCRIPTION NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|AI MARKETING|GENERATIVE ARTIFICIAL INTELLIGENCE (AI)|WITH CS|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,AI MARKETING,GENERATIVE ARTIFICIAL INTELLIGENCE (AI),WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|AUTOMATION|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,AUTOMATION,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|COMPUTER LITERACY|COMPUTER SYSTEMS SERVICING NC II|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,COMPUTER LITERACY,COMPUTER SYSTEMS SERVICING NC II,WITH TR,LOW,,0,0,8,8,,0,0,8,8
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|CREATIVE/ ART DIRECTOR|VISUAL GRAPHIC DESIGN NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,CREATIVE/ ART DIRECTOR,VISUAL GRAPHIC DESIGN NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|CRYPTO (BLOCK CHAIN)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,CRYPTO (BLOCK CHAIN),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|CYBER SECURITY|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,CYBER SECURITY,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|DATA ANALYSIS|DATA ANALYTICS LEVEL III|WITH CS|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,DATA ANALYSIS,DATA ANALYTICS LEVEL III,WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|DATA SCIENCE|DATA ANALYTICS LEVEL III|WITH CS|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,DATA SCIENCE,DATA ANALYTICS LEVEL III,WITH CS,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|FULL-STACK DEVELOPER|DIPLOMA PROGRAM IN WEB APPLICATION DEVELOPMENT TECHNOLOGY|DIPLOMA PROGRAMS|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,FULL-STACK DEVELOPER,DIPLOMA PROGRAM IN WEB APPLICATION DEVELOPMENT TECHNOLOGY,DIPLOMA PROGRAMS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|IOT TECHNICIAN|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,IOT TECHNICIAN,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,MEDIUM,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|IT SUPPORT SPECIALIST, COMPUTER TECHNICIAN, PROGRAMMER, NETWORK SYSTEM TECHNICIAN, HELP DESK SUPPORT, DESKTOP SUPPORT SPECIALIST|DIPLOMA PROGRAM IN COMPUTER ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS|LOW",REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,"IT SUPPORT SPECIALIST, COMPUTER TECHNICIAN, PROGRAMMER, NETWORK SYSTEM TECHNICIAN, HELP DESK SUPPORT, DESKTOP SUPPORT SPECIALIST",DIPLOMA PROGRAM IN COMPUTER ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|JAVA PROGRAMMER|PROGRAMMING (JAVA) NC III|WITH TR|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,JAVA PROGRAMMER,PROGRAMMING (JAVA) NC III,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|LAYOUT ARTIST|VISUAL GRAPHIC DESIGN NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,LAYOUT ARTIST,VISUAL GRAPHIC DESIGN NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|MULTIMEDIA ARTIST|VISUAL GRAPHIC DESIGN NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,MULTIMEDIA ARTIST,VISUAL GRAPHIC DESIGN NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|PHYTON PROGRAMMING|PROGRAMMING (.NET TECHNOLOGY) NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,PHYTON PROGRAMMING,PROGRAMMING (.NET TECHNOLOGY) NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|PROJECT MANAGERS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,PROJECT MANAGERS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SERVER ADMINISTRATION|COMPUTER SYSTEMS SERVICING NC II|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SERVER ADMINISTRATION,COMPUTER SYSTEMS SERVICING NC II,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SOCIAL MEDIA PROFICIENCY|CONTENT CREATION (SOCIAL MEDIA) LEVEL III|WITH CS|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SOCIAL MEDIA PROFICIENCY,CONTENT CREATION (SOCIAL MEDIA) LEVEL III,WITH CS,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SOFTWARE DEVELOPMENT WITH AI|CYBER THREAT MONITORING LEVEL I|WITH CS|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SOFTWARE DEVELOPMENT WITH AI,CYBER THREAT MONITORING LEVEL I,WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SOFTWARE QA|WEB DEVELOPMENT NC III|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SOFTWARE QA,WEB DEVELOPMENT NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|SPEED TYPING|DATA ENCODING AND MANAGEMENT LEVEL II|WITH CS|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,SPEED TYPING,DATA ENCODING AND MANAGEMENT LEVEL II,WITH CS,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|TECHNICAL SUPPORT GROUP|CUSTOMER SERVICES NC II|WITH TR|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,TECHNICAL SUPPORT GROUP,CUSTOMER SERVICES NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|TECHNICAL TEAM|CUSTOMER SERVICES NC II|WITH CS|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,TECHNICAL TEAM,CUSTOMER SERVICES NC II,WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|VIRTUAL ASSISTANCE|DIGITAL MARKETING LEVEL III|WITH CS|LOW,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,VIRTUAL ASSISTANCE,DIGITAL MARKETING LEVEL III,WITH CS,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|VIRTUAL REALITY|VIRTUAL ASSISTANT SERVICES LEVEL III|WITH CS|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,VIRTUAL REALITY,VIRTUAL ASSISTANT SERVICES LEVEL III,WITH CS,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|VISUAL GRAPHIC/ ARTIST/ DESIGNER|VISUAL GRAPHIC DESIGN NC III|WITH TR|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,VISUAL GRAPHIC/ ARTIST/ DESIGNER,VISUAL GRAPHIC DESIGN NC III,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|INFORMATION AND COMMUNICATION TECHNOLOGY|INFORMATION TECHNOLOGY SERVICES|WEBSITE CREATION|WEB DEVELOPMENT NC III|WITH TR|MEDIUM,REGION_VII,CEBU,INFORMATION AND COMMUNICATION TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,WEBSITE CREATION,WEB DEVELOPMENT NC III,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|AUTOMOTIVE AND LAND TRANSPORTATION PRODUCTION (OEM) ASSEMBLY|AUTO ELECTRICIAN|AUTOMOTIVE ELECTRICAL ASSEMBLY NC II|WITH TR|HIGH,REGION_VII,CEBU,MANUFACTURING,AUTOMOTIVE AND LAND TRANSPORTATION PRODUCTION (OEM) ASSEMBLY,AUTO ELECTRICIAN,AUTOMOTIVE ELECTRICAL ASSEMBLY NC II,WITH TR,HIGH,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|CONSTRUCTION|MASON|MASONRY NC I|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,CONSTRUCTION,MASON,MASONRY NC I,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|MANUFACTURING|ELECTRICAL AND ELECTRONICS|CALIBRATION TECHNICIAN|INSTRUMENTATION AND CONTROL SERVICING NC II|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,ELECTRICAL AND ELECTRONICS,CALIBRATION TECHNICIAN,INSTRUMENTATION AND CONTROL SERVICING NC II,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|MANUFACTURING|ELECTRICAL AND ELECTRONICS|DATABASE ADMINISTRATOR|PROGRAMMING (ORACLE DATABASE) NC III|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,ELECTRICAL AND ELECTRONICS,DATABASE ADMINISTRATOR,PROGRAMMING (ORACLE DATABASE) NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|ELECTRICAL AND ELECTRONICS|ELECTRICAL LEADMAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC III|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,ELECTRICAL AND ELECTRONICS,ELECTRICAL LEADMAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC III,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|MANUFACTURING|ELECTRICAL AND ELECTRONICS|ELECTRICIAN|AUTOMOTIVE ELECTRICAL ASSEMBLY NC II|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,ELECTRICAL AND ELECTRONICS,ELECTRICIAN,AUTOMOTIVE ELECTRICAL ASSEMBLY NC II,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|ELECTRICAL AND ELECTRONICS|INDUSTRIAL ELECTRONIC TECHNICIAN|DIPLOMA PROGRAM IN ELECTRONICS ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS|MEDIUM,REGION_VII,CEBU,MANUFACTURING,ELECTRICAL AND ELECTRONICS,INDUSTRIAL ELECTRONIC TECHNICIAN,DIPLOMA PROGRAM IN ELECTRONICS ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|ELECTRICAL AND ELECTRONICS|INSTRUMENT TECHNICIAN 2|INSTRUMENTATION AND CONTROL SERVICING NC III|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,ELECTRICAL AND ELECTRONICS,INSTRUMENT TECHNICIAN 2,INSTRUMENTATION AND CONTROL SERVICING NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|ELECTRICAL AND ELECTRONICS|INSTRUMENT TECHNICIAN 3|INSTRUMENTATION AND CONTROL SERVICING NC IV|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,ELECTRICAL AND ELECTRONICS,INSTRUMENT TECHNICIAN 3,INSTRUMENTATION AND CONTROL SERVICING NC IV,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|ELECTRICAL AND ELECTRONICS|INTEGRATION SPECIALIST|PROGRAMMING (.NET TECHNOLOGY) NC III|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,ELECTRICAL AND ELECTRONICS,INTEGRATION SPECIALIST,PROGRAMMING (.NET TECHNOLOGY) NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|ELECTRICAL AND ELECTRONICS|MAINTENANCE ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,ELECTRICAL AND ELECTRONICS,MAINTENANCE ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|MANUFACTURING|ELECTRICAL AND ELECTRONICS|MANUFACTURING SYSTEMS DEVELOPER|PROGRAMMING (JAVA) NC III|WITH TR|HIGH,REGION_VII,CEBU,MANUFACTURING,ELECTRICAL AND ELECTRONICS,MANUFACTURING SYSTEMS DEVELOPER,PROGRAMMING (JAVA) NC III,WITH TR,HIGH,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|MANUFACTURING|ELECTRICAL AND ELECTRONICS|MECHATRONICS AND AUTOMATION TECHNICIAN|MECHATRONICS SERVICING NC II|WITH TR|HIGH,REGION_VII,CEBU,MANUFACTURING,ELECTRICAL AND ELECTRONICS,MECHATRONICS AND AUTOMATION TECHNICIAN,MECHATRONICS SERVICING NC II,WITH TR,HIGH,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|MANUFACTURING|ELECTRICAL AND ELECTRONICS|PCB DESIGN TECHNICIAN|ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,ELECTRICAL AND ELECTRONICS,PCB DESIGN TECHNICIAN,ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|MANUFACTURING|ELECTRICAL AND ELECTRONICS|RESIDENTIAL/COMMERCIAL WIRING TECHNICIAN|DIPLOMA PROGRAM IN ELECTRICAL ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS|MEDIUM,REGION_VII,CEBU,MANUFACTURING,ELECTRICAL AND ELECTRONICS,RESIDENTIAL/COMMERCIAL WIRING TECHNICIAN,DIPLOMA PROGRAM IN ELECTRICAL ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,MEDIUM,,0,0,0,0,,0,0,0,0
"REGION_VII|CEBU|MANUFACTURING|ELECTRICAL AND ELECTRONICS|SOLDERING, MICROSCOPE OPERATION|ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II|WITH TR|LOW",REGION_VII,CEBU,MANUFACTURING,ELECTRICAL AND ELECTRONICS,"SOLDERING, MICROSCOPE OPERATION",ELECTRONIC PRODUCTS ASSEMBLY AND SERVICING NC II,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|MANUFACTURING|ELECTRICAL AND ELECTRONICS|SUPERVISING TECHNICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC IV|WITH TR|MEDIUM,REGION_VII,CEBU,MANUFACTURING,ELECTRICAL AND ELECTRONICS,SUPERVISING TECHNICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC IV,WITH TR,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|FURNITURE AND FIXTURES|CARPENTER|CARPENTRY NC II|WITH TR|HIGH,REGION_VII,CEBU,MANUFACTURING,FURNITURE AND FIXTURES,CARPENTER,CARPENTRY NC II,WITH TR,HIGH,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|MANUFACTURING|GAME DEVELOPMENT SERVICES|GAME PROGRAMMER|GAME PROGRAMMING NC III|WITH TR|HIGH,REGION_VII,CEBU,MANUFACTURING,GAME DEVELOPMENT SERVICES,GAME PROGRAMMER,GAME PROGRAMMING NC III,WITH TR,HIGH,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|GARMENTS|GARMENT SEWER|DRESSMAKING NC II|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,GARMENTS,GARMENT SEWER,DRESSMAKING NC II,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|MANUFACTURING|GARMENTS|INDUSTRIAL SEWING MACHINE OPERATORS|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING|LOW,REGION_VII,CEBU,MANUFACTURING,GARMENTS,INDUSTRIAL SEWING MACHINE OPERATORS,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|GARMENTS|TAILOR|TAILORING NC II|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,GARMENTS,TAILOR,TAILORING NC II,WITH TR,LOW,,0,0,1,1,,0,0,1,1
"REGION_VII|CEBU|MANUFACTURING|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|RAC TECHNICIAN/ INSTALLERS|COMMERCIAL AIR-CONDITIONING INSTALLATION AND SERVICING NC III|WITH TR|HIGH",REGION_VII,CEBU,MANUFACTURING,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION",RAC TECHNICIAN/ INSTALLERS,COMMERCIAL AIR-CONDITIONING INSTALLATION AND SERVICING NC III,WITH TR,HIGH,,0,0,1,1,,0,0,1,1
"REGION_VII|CEBU|MANUFACTURING|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|RAC TECHNICIAN/ INSTALLERS|RAC SERVICING (DOMRAC) NC II|WITH TR|MEDIUM",REGION_VII,CEBU,MANUFACTURING,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION",RAC TECHNICIAN/ INSTALLERS,RAC SERVICING (DOMRAC) NC II,WITH TR,MEDIUM,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|MANUFACTURING|METALS AND ENGINEERING|CARBON STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC I|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,METALS AND ENGINEERING,CARBON STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC I,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|METALS AND ENGINEERING|CARBON STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC III|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,METALS AND ENGINEERING,CARBON STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC III,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|METALS AND ENGINEERING|CARBON STEEL PLATE/ PIPE WELDER (MMAW)|MANUAL METAL ARC WELDING (MMAW) NC IV|WITH TR|HIGH,REGION_VII,CEBU,MANUFACTURING,METALS AND ENGINEERING,CARBON STEEL PLATE/ PIPE WELDER (MMAW),MANUAL METAL ARC WELDING (MMAW) NC IV,WITH TR,HIGH,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|METALS AND ENGINEERING|FCAW PLATE WELDER (ALLOY STEEL)|FLUX-CORED ARC WELDING (FCAW) NC III|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,METALS AND ENGINEERING,FCAW PLATE WELDER (ALLOY STEEL),FLUX-CORED ARC WELDING (FCAW) NC III,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|MANUFACTURING|METALS AND ENGINEERING|GAS (OXY-ACETYLENE) WELDER|GAS WELDING NC I|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,METALS AND ENGINEERING,GAS (OXY-ACETYLENE) WELDER,GAS WELDING NC I,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|METALS AND ENGINEERING|GAS WELDER (OXY-ACETYLENE)|GAS WELDING NC II|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,METALS AND ENGINEERING,GAS WELDER (OXY-ACETYLENE),GAS WELDING NC II,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|MANUFACTURING|METALS AND ENGINEERING|GMAW WELDER (ALLOY STEEL)|GAS METAL ARC WELDING (GMAW) NC III|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,METALS AND ENGINEERING,GMAW WELDER (ALLOY STEEL),GAS METAL ARC WELDING (GMAW) NC III,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|MANUFACTURING|METALS AND ENGINEERING|GTAW OR TIG PIPE WELDER (ALLOY STEEL)|GAS TUNGSTEN ARC WELDING (GTAW) NC IV|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,METALS AND ENGINEERING,GTAW OR TIG PIPE WELDER (ALLOY STEEL),GAS TUNGSTEN ARC WELDING (GTAW) NC IV,WITH TR,LOW,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|METALS AND ENGINEERING|GTAW/TIG WELDER|GAS TUNGSTEN ARC WELDING (GTAW) NC II|WITH TR|LOW,REGION_VII,CEBU,MANUFACTURING,METALS AND ENGINEERING,GTAW/TIG WELDER,GAS TUNGSTEN ARC WELDING (GTAW) NC II,WITH TR,LOW,,0,0,1,1,,0,0,1,1
REGION_VII|CEBU|MANUFACTURING|METALS AND ENGINEERING|INSTRUMENTATION TECHNICIAN|DIPLOMA PROGRAM IN MECHANICAL ENGINEERING TECHNOLOGY|DIPLOMA PROGRAMS|MEDIUM,REGION_VII,CEBU,MANUFACTURING,METALS AND ENGINEERING,INSTRUMENTATION TECHNICIAN,DIPLOMA PROGRAM IN MECHANICAL ENGINEERING TECHNOLOGY,DIPLOMA PROGRAMS,MEDIUM,,0,0,0,0,,0,0,0,0
REGION_VII|CEBU|MANUFACTURING|METALS AND ENGINEERING|MACHINIST|MACHINING NC I|WITH TR|HIGH,REGION_VII,CEBU,MANUFACTURING,METALS AND ENGINEERING,MACHINIST,MACHINING NC I,WITH TR,HIGH,,0,0,1,1,,0,0,1,1
